level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0.000000	0.000000	595.280000	841.890000	-1	###PAGE###
3	1	0	0	0	0	170.000000	32.700000	255.000000	10.000000	-1	###FLOW###
4	1	0	0	0	0	170.000000	32.700000	255.000000	10.000000	-1	###LINE###
5	1	0	0	0	0	170.00	32.70	60.00	10.00	100	言語処理学会
5	1	0	0	0	1	235.00	32.70	70.00	10.00	100	第30回年次大会
5	1	0	0	0	2	310.00	32.70	115.00	10.00	100	発表論文集（2024年3月）
3	1	1	0	0	0	66.602000	113.772320	462.061000	18.374240	-1	###FLOW###
4	1	1	0	0	0	66.602000	113.772320	462.061000	18.374240	-1	###LINE###
5	1	1	0	0	0	66.60	117.07	68.11	15.08	100	JDocQA:
5	1	1	0	0	1	139.14	113.77	389.53	16.94	100	図表を含む日本語文書質問応答データセットによる
3	1	2	0	0	0	179.082000	131.704320	237.104000	16.936000	-1	###FLOW###
4	1	2	0	0	0	179.082000	131.704320	237.104000	16.936000	-1	###LINE###
5	1	2	0	0	0	179.08	131.70	237.10	16.94	100	大規模言語モデルチューニング
3	1	3	0	0	0	164.987000	165.975600	61.864500	11.955000	-1	###FLOW###
4	1	3	0	0	0	164.987000	165.975600	61.864500	11.955000	-1	###LINE###
5	1	3	0	0	0	164.99	165.98	47.82	11.95	100	大南英理
5	1	3	0	0	1	215.80	166.17	11.06	7.89	100	1,2
3	1	4	0	0	0	73.478000	165.975600	448.318000	44.712650	-1	###FLOW###
4	1	4	0	0	0	239.305000	165.975600	190.485500	11.955000	-1	###LINE###
5	1	4	0	0	0	239.31	165.98	47.82	11.95	100	栗田修平
5	1	4	0	0	1	290.11	166.17	4.38	7.89	100	2
5	1	4	0	0	2	306.95	165.98	47.82	11.95	100	宮西大樹
5	1	4	0	0	3	357.76	166.17	4.38	7.89	100	3
5	1	4	0	0	4	374.60	165.98	47.82	11.95	100	渡辺太郎
5	1	4	0	0	5	425.41	166.17	4.38	7.89	100	1
4	1	4	0	1	0	257.837000	180.979600	254.842000	11.955000	-1	###LINE###
5	1	4	0	1	0	257.84	181.17	4.38	7.89	100	2
5	1	4	0	1	1	265.71	180.98	71.73	11.95	100	理化学研究所
5	1	4	0	1	2	349.39	181.17	4.38	7.89	100	3
5	1	4	0	1	3	357.26	180.98	155.41	11.95	100	国際電気通信基礎技術研究所
4	1	4	0	2	0	73.478000	195.146750	448.318000	15.541500	-1	###LINE###
5	1	4	0	2	0	73.48	195.15	191.28	15.54	100	{onami.eri.ob6,taro}@is.naist.jp
5	1	4	0	2	1	279.70	198.55	131.51	9.95	100	shuhei.kurita@riken.jp
5	1	4	0	2	2	426.16	198.55	95.64	9.95	100	miyanishi@atr.jp
3	1	4	1	0	0	82.594000	180.979600	163.286000	11.955000	-1	###FLOW###
4	1	4	1	0	0	82.594000	180.979600	163.286000	11.955000	-1	###LINE###
5	1	4	1	0	0	82.59	181.17	4.38	7.89	100	1
5	1	4	1	0	1	90.46	180.98	155.42	11.95	100	奈良先端科学技術大学院大学
3	1	5	0	0	0	56.693000	232.605760	27.896000	13.948000	-1	###FLOW###
4	1	5	0	0	0	56.693000	232.605760	27.896000	13.948000	-1	###LINE###
5	1	5	0	0	0	56.69	232.61	27.90	13.95	100	概要
3	1	5	1	0	0	56.693000	257.013560	230.982212	204.234000	-1	###FLOW###
4	1	5	1	0	0	66.656000	257.013560	221.018385	9.963000	-1	###LINE###
5	1	5	1	0	0	66.66	257.01	221.02	9.96	100	実用的な文書にはテキストだけでなく様々な図
4	1	5	1	1	0	56.693000	271.957560	230.982212	9.963000	-1	###LINE###
5	1	5	1	1	0	56.69	271.96	230.98	9.96	100	表等が含まれる．このような文書への高精度な質問
4	1	5	1	2	0	56.693000	286.901560	230.982212	9.963000	-1	###LINE###
5	1	5	1	2	0	56.69	286.90	230.98	9.96	100	応答を実現するためには，視覚情報とテキスト情報
4	1	5	1	3	0	56.693000	301.845560	230.982212	9.963000	-1	###LINE###
5	1	5	1	3	0	56.69	301.85	230.98	9.96	100	の両方の理解が必要となる．本研究では図表を含む
4	1	5	1	4	0	56.693000	316.789560	230.982212	9.963000	-1	###LINE###
5	1	5	1	4	0	56.69	316.79	230.98	9.96	100	日本語文書をもとにして，視覚情報とテキスト情報
4	1	5	1	5	0	56.693000	331.733560	230.982000	10.929411	-1	###LINE###
5	1	5	1	5	0	56.69	331.73	180.99	9.96	100	の両方を参照する質問応答データセット
5	1	5	1	5	1	240.27	333.70	34.86	8.97	100	JDocQA
5	1	5	1	5	2	277.71	331.73	9.96	9.96	100	を
4	1	5	1	6	0	56.693000	346.677560	230.982212	9.963000	-1	###LINE###
5	1	5	1	6	0	56.69	346.68	230.98	9.96	100	提案し，複数の日本語大規模言語モデルや画像を入
4	1	5	1	7	0	56.693000	361.621560	230.982212	9.963000	-1	###LINE###
5	1	5	1	7	0	56.69	361.62	230.98	9.96	100	力とするモデルを使用して，データセットのベンチ
4	1	5	1	8	0	56.693000	376.565560	230.981821	9.963000	-1	###LINE###
5	1	5	1	8	0	56.69	376.57	187.48	9.96	100	マーキングを行った．その結果，JDocQA
5	1	5	1	8	1	246.96	376.57	40.72	9.96	100	を用いて
4	1	5	1	9	0	56.693000	391.509560	230.982212	9.963000	-1	###LINE###
5	1	5	1	9	0	56.69	391.51	230.98	9.96	100	大規模言語モデルのチューニングを行うことで，図
4	1	5	1	10	0	56.693000	406.453560	230.982102	9.963000	-1	###LINE###
5	1	5	1	10	0	56.69	406.45	230.98	9.96	100	表を含む日本語文書の質問応答課題の性能を向上
4	1	5	1	11	0	56.693000	421.397560	230.982112	9.963000	-1	###LINE###
